section,name,AP,AP50,AP75,APS,APM,APL,AR1,AR10,AR100,ARS,ARM,ARL,macro_mAP
COCO,overall,0.1828,0.4183,0.1271,0.1167,0.1901,0.2731,0.1279,0.2741,0.3368,0.2330,0.3573,0.4660,
Macro,macro_mAP,,,,,,,,,,,,,0.1828
PerClass,person,0.1720,0.4387,,0.1429,0.2434,0.2373,,,,0.2457,0.4221,0.4907,
PerClass,car,0.1542,0.3548,,0.1293,0.2320,0.2243,,,,0.2710,0.3954,0.4000,
PerClass,bus,0.2222,0.4613,,0.0781,0.0949,0.3577,,,,0.1824,0.2543,0.5073,
