section,name,AP,AP50,AP75,APS,APM,APL,AR1,AR10,AR100,ARS,ARM,ARL,macro_mAP
COCO,overall,0.1983,0.4295,0.1545,0.1100,0.2080,0.2740,0.1303,0.2992,0.3863,0.2856,0.4159,0.4857,
Macro,macro_mAP,,,,,,,,,,,,,0.1983
PerClass,person,0.1764,0.4454,,0.1547,0.2462,0.2363,,,,0.2859,0.4405,0.4895,
PerClass,car,0.1673,0.3680,,0.1447,0.2569,0.1854,,,,0.3181,0.4529,0.4040,
PerClass,bus,0.2512,0.4750,,0.0306,0.1211,0.4004,,,,0.2529,0.3543,0.5636,

