section,name,AP,AP50,AP75,APS,APM,APL,AR1,AR10,AR100,ARS,ARM,ARL,macro_mAP
COCO,overall,0.1862,0.4195,0.1476,0.1044,0.1959,0.2672,0.1255,0.2824,0.3626,0.2566,0.4003,0.4535,
Macro,macro_mAP,,,,,,,,,,,,,0.1862
PerClass,person,0.1714,0.4312,,0.1450,0.2450,0.2291,,,,0.2704,0.4463,0.4674,
PerClass,car,0.1543,0.3570,,0.1293,0.2365,0.2032,,,,0.2937,0.4402,0.3640,
PerClass,bus,0.2328,0.4705,,0.0390,0.1062,0.3695,,,,0.2059,0.3143,0.5291,
