section,name,AP,AP50,AP75,APS,APM,APL,AR1,AR10,AR100,ARS,ARM,ARL,macro_mAP
COCO,overall,0.1858,0.4171,0.1419,0.1027,0.1949,0.2657,0.1298,0.2860,0.3689,0.2598,0.4033,0.4673,
Macro,macro_mAP,,,,,,,,,,,,,0.1858
PerClass,person,0.1715,0.4330,,0.1444,0.2475,0.2317,,,,0.2709,0.4468,0.4849,
PerClass,car,0.1530,0.3531,,0.1300,0.2295,0.1943,,,,0.2966,0.4402,0.3680,
PerClass,bus,0.2328,0.4652,,0.0338,0.1077,0.3712,,,,0.2118,0.3229,0.5491,
